estado,produtores,latitude,longitude
ac,0,-8.77,-70.55
al,0,-9.71,-35.73
ap,0,1.41,-51.77
am,0,-3.07,-61.66
ba,579,-12.96,-38.51
ce,922,-3.71,-38.54
df,0,-15.83,-47.86
es,0,-19.19,-40.34
go,0,-16.64,-49.31
ma,0,-2.55,-44.30
mt,0,-12.64,-55.42
ms,0,-20.51,-54.54
mg,0,-18.10,-44.38
pa,0,-5.53,-52.29
pb,0,-7.06,-35.55
pr,0,-24.89,-51.55
pe,310,-8.28,-35.07
pi,0,-8.28,-43.68
rj,0,-22.84,-43.15
rn,0,-5.22,-36.52
rs,0,-30.01,-51.22
ro,0,-11.22,-62.80
rr,0,1.89,-61.22
sc,0,-27.33,-49.44
sp,0,-23.55,-46.64
se,276,-10.90,-37.07
to,0,-10.25,-48.25
